"";"stim1";"ppt";"responses";"RTs";"RWAsc";"bloc";"valence";"condition1"
"19";"B3";"342643__20160428_154823.csv";3;5741;75;"2";"Pos";"ratings_Grp2"
"20";"B8";"342643__20160428_154823.csv";5;1255;75;"2";"Pos";"ratings_Grp2"
"21";"M7";"342643__20160428_154823.csv";5;1229;75;"2";"Neg";"ratings_Grp2"
"22";"M2";"342643__20160428_154823.csv";5;782;75;"2";"Neg";"ratings_Grp2"
"23";"B7";"342643__20160428_154823.csv";4;1665;75;"2";"Pos";"ratings_Grp2"
"24";"B1";"342643__20160428_154823.csv";3;1770;75;"2";"Pos";"ratings_Grp2"
"25";"M1";"342643__20160428_154823.csv";4;2969;75;"2";"Neg";"ratings_Grp2"
"26";"M8";"342643__20160428_154823.csv";4;1042;75;"2";"Neg";"ratings_Grp2"
"27";"B6";"342643__20160428_154823.csv";7;2160;75;"2";"Pos";"ratings_Grp2"
"28";"M5";"342643__20160428_154823.csv";4;837;75;"2";"Neg";"ratings_Grp2"
"29";"B5";"342643__20160428_154823.csv";8;1150;75;"2";"Pos";"ratings_Grp2"
"30";"B2";"342643__20160428_154823.csv";5;1517;75;"2";"Pos";"ratings_Grp2"
"31";"M3";"342643__20160428_154823.csv";3;1085;75;"2";"Neg";"ratings_Grp2"
"32";"B4";"342643__20160428_154823.csv";8;1168;75;"2";"Pos";"ratings_Grp2"
"33";"M4";"342643__20160428_154823.csv";5;1324;75;"2";"Neg";"ratings_Grp2"
"34";"M6";"342643__20160428_154823.csv";3;2765;75;"2";"Neg";"ratings_Grp2"
"84";"M6";"342643__20160428_155143.csv";6;6694;39;"2";"Neg";"ratings_Grp2"
"85";"M5";"342643__20160428_155143.csv";7;9598;39;"2";"Neg";"ratings_Grp2"
"86";"M1";"342643__20160428_155143.csv";6;3183;39;"2";"Neg";"ratings_Grp2"
"87";"M2";"342643__20160428_155143.csv";7;4155;39;"2";"Neg";"ratings_Grp2"
"88";"B8";"342643__20160428_155143.csv";3;3102;39;"2";"Pos";"ratings_Grp2"
"89";"M8";"342643__20160428_155143.csv";6;2038;39;"2";"Neg";"ratings_Grp2"
"90";"B1";"342643__20160428_155143.csv";5;1995;39;"2";"Pos";"ratings_Grp2"
"91";"B3";"342643__20160428_155143.csv";5;811;39;"2";"Pos";"ratings_Grp2"
"92";"B2";"342643__20160428_155143.csv";4;2495;39;"2";"Pos";"ratings_Grp2"
"93";"M3";"342643__20160428_155143.csv";7;1911;39;"2";"Neg";"ratings_Grp2"
"94";"M7";"342643__20160428_155143.csv";6;3328;39;"2";"Neg";"ratings_Grp2"
"95";"B5";"342643__20160428_155143.csv";5;1291;39;"2";"Pos";"ratings_Grp2"
"96";"B7";"342643__20160428_155143.csv";5;1251;39;"2";"Pos";"ratings_Grp2"
"97";"B6";"342643__20160428_155143.csv";5;848;39;"2";"Pos";"ratings_Grp2"
"98";"M4";"342643__20160428_155143.csv";7;1437;39;"2";"Neg";"ratings_Grp2"
"99";"B4";"342643__20160428_155143.csv";5;2263;39;"2";"Pos";"ratings_Grp2"
"149";"M5";"342643__20160428_155411.csv";6;9194;77;"2";"Neg";"ratings_Grp2"
"150";"B7";"342643__20160428_155411.csv";3;2340;77;"2";"Pos";"ratings_Grp2"
"151";"B2";"342643__20160428_155411.csv";7;2154;77;"2";"Pos";"ratings_Grp2"
"152";"B1";"342643__20160428_155411.csv";6;1883;77;"2";"Pos";"ratings_Grp2"
"153";"M8";"342643__20160428_155411.csv";2;2435;77;"2";"Neg";"ratings_Grp2"
"154";"M1";"342643__20160428_155411.csv";1;1444;77;"2";"Neg";"ratings_Grp2"
"155";"M2";"342643__20160428_155411.csv";2;782;77;"2";"Neg";"ratings_Grp2"
"156";"B4";"342643__20160428_155411.csv";5;3366;77;"2";"Pos";"ratings_Grp2"
"157";"M4";"342643__20160428_155411.csv";4;1755;77;"2";"Neg";"ratings_Grp2"
"158";"M3";"342643__20160428_155411.csv";4;2518;77;"2";"Neg";"ratings_Grp2"
"159";"B5";"342643__20160428_155411.csv";7;934;77;"2";"Pos";"ratings_Grp2"
"160";"B3";"342643__20160428_155411.csv";6;1063;77;"2";"Pos";"ratings_Grp2"
"161";"M6";"342643__20160428_155411.csv";4;1939;77;"2";"Neg";"ratings_Grp2"
"162";"B6";"342643__20160428_155411.csv";7;863;77;"2";"Pos";"ratings_Grp2"
"163";"B8";"342643__20160428_155411.csv";7;880;77;"2";"Pos";"ratings_Grp2"
"164";"M7";"342643__20160428_155411.csv";4;751;77;"2";"Neg";"ratings_Grp2"
"214";"M6";"342643__20160428_155932.csv";4;33625;75;"2";"Neg";"ratings_Grp2"
"215";"M1";"342643__20160428_155932.csv";3;2748;75;"2";"Neg";"ratings_Grp2"
"216";"M8";"342643__20160428_155932.csv";5;1800;75;"2";"Neg";"ratings_Grp2"
"217";"B8";"342643__20160428_155932.csv";6;6848;75;"2";"Pos";"ratings_Grp2"
"218";"B4";"342643__20160428_155932.csv";6;1650;75;"2";"Pos";"ratings_Grp2"
"219";"M3";"342643__20160428_155932.csv";7;1908;75;"2";"Neg";"ratings_Grp2"
"220";"M5";"342643__20160428_155932.csv";6;1280;75;"2";"Neg";"ratings_Grp2"
"221";"B2";"342643__20160428_155932.csv";8;2595;75;"2";"Pos";"ratings_Grp2"
"222";"B3";"342643__20160428_155932.csv";4;501;75;"2";"Pos";"ratings_Grp2"
"223";"B5";"342643__20160428_155932.csv";5;1441;75;"2";"Pos";"ratings_Grp2"
"224";"M7";"342643__20160428_155932.csv";6;1082;75;"2";"Neg";"ratings_Grp2"
"225";"B7";"342643__20160428_155932.csv";7;1144;75;"2";"Pos";"ratings_Grp2"
"226";"M2";"342643__20160428_155932.csv";8;1084;75;"2";"Neg";"ratings_Grp2"
"227";"B6";"342643__20160428_155932.csv";4;1149;75;"2";"Pos";"ratings_Grp2"
"228";"M4";"342643__20160428_155932.csv";6;1468;75;"2";"Neg";"ratings_Grp2"
"229";"B1";"342643__20160428_155932.csv";7;1070;75;"2";"Pos";"ratings_Grp2"
"279";"B3";"342643__20160428_160025.csv";7;10039;60;"2";"Pos";"ratings_Grp2"
"280";"B7";"342643__20160428_160025.csv";8;1554;60;"2";"Pos";"ratings_Grp2"
"281";"B4";"342643__20160428_160025.csv";6;1222;60;"2";"Pos";"ratings_Grp2"
"282";"M6";"342643__20160428_160025.csv";7;747;60;"2";"Neg";"ratings_Grp2"
"283";"M5";"342643__20160428_160025.csv";4;777;60;"2";"Neg";"ratings_Grp2"
"284";"B1";"342643__20160428_160025.csv";8;910;60;"2";"Pos";"ratings_Grp2"
"285";"B5";"342643__20160428_160025.csv";5;1023;60;"2";"Pos";"ratings_Grp2"
"286";"M3";"342643__20160428_160025.csv";9;800;60;"2";"Neg";"ratings_Grp2"
"287";"M2";"342643__20160428_160025.csv";4;867;60;"2";"Neg";"ratings_Grp2"
"288";"M8";"342643__20160428_160025.csv";9;1344;60;"2";"Neg";"ratings_Grp2"
"289";"M1";"342643__20160428_160025.csv";9;497;60;"2";"Neg";"ratings_Grp2"
"290";"B6";"342643__20160428_160025.csv";8;475;60;"2";"Pos";"ratings_Grp2"
"291";"B8";"342643__20160428_160025.csv";5;640;60;"2";"Pos";"ratings_Grp2"
"292";"M7";"342643__20160428_160025.csv";6;522;60;"2";"Neg";"ratings_Grp2"
"293";"B2";"342643__20160428_160025.csv";9;1383;60;"2";"Pos";"ratings_Grp2"
"294";"M4";"342643__20160428_160025.csv";5;648;60;"2";"Neg";"ratings_Grp2"
"344";"B4";"342643__20160428_160043.csv";3;3135;80;"2";"Pos";"ratings_Grp2"
"345";"M5";"342643__20160428_160043.csv";6;771;80;"2";"Neg";"ratings_Grp2"
"346";"M3";"342643__20160428_160043.csv";5;832;80;"2";"Neg";"ratings_Grp2"
"347";"M1";"342643__20160428_160043.csv";5;957;80;"2";"Neg";"ratings_Grp2"
"348";"B6";"342643__20160428_160043.csv";3;736;80;"2";"Pos";"ratings_Grp2"
"349";"B2";"342643__20160428_160043.csv";2;1188;80;"2";"Pos";"ratings_Grp2"
"350";"B1";"342643__20160428_160043.csv";5;474;80;"2";"Pos";"ratings_Grp2"
"351";"B7";"342643__20160428_160043.csv";3;902;80;"2";"Pos";"ratings_Grp2"
"352";"B3";"342643__20160428_160043.csv";2;912;80;"2";"Pos";"ratings_Grp2"
"353";"M7";"342643__20160428_160043.csv";6;861;80;"2";"Neg";"ratings_Grp2"
"354";"M2";"342643__20160428_160043.csv";5;666;80;"2";"Neg";"ratings_Grp2"
"355";"M6";"342643__20160428_160043.csv";6;788;80;"2";"Neg";"ratings_Grp2"
"356";"B8";"342643__20160428_160043.csv";3;1027;80;"2";"Pos";"ratings_Grp2"
"357";"M8";"342643__20160428_160043.csv";2;891;80;"2";"Neg";"ratings_Grp2"
"358";"M4";"342643__20160428_160043.csv";2;694;80;"2";"Neg";"ratings_Grp2"
"359";"B5";"342643__20160428_160043.csv";3;1846;80;"2";"Pos";"ratings_Grp2"
"409";"B4";"342643__20160428_160148.csv";5;9655;54;"2";"Pos";"ratings_Grp2"
"410";"B6";"342643__20160428_160148.csv";5;1937;54;"2";"Pos";"ratings_Grp2"
"411";"M3";"342643__20160428_160148.csv";5;1275;54;"2";"Neg";"ratings_Grp2"
"412";"M7";"342643__20160428_160148.csv";5;882;54;"2";"Neg";"ratings_Grp2"
"413";"M8";"342643__20160428_160148.csv";5;771;54;"2";"Neg";"ratings_Grp2"
"414";"B7";"342643__20160428_160148.csv";5;731;54;"2";"Pos";"ratings_Grp2"
"415";"M4";"342643__20160428_160148.csv";5;683;54;"2";"Neg";"ratings_Grp2"
"416";"M5";"342643__20160428_160148.csv";5;779;54;"2";"Neg";"ratings_Grp2"
"417";"B2";"342643__20160428_160148.csv";5;707;54;"2";"Pos";"ratings_Grp2"
"418";"B8";"342643__20160428_160148.csv";5;698;54;"2";"Pos";"ratings_Grp2"
"419";"B1";"342643__20160428_160148.csv";5;666;54;"2";"Pos";"ratings_Grp2"
"420";"M6";"342643__20160428_160148.csv";5;1306;54;"2";"Neg";"ratings_Grp2"
"421";"B3";"342643__20160428_160148.csv";5;1771;54;"2";"Pos";"ratings_Grp2"
"422";"M2";"342643__20160428_160148.csv";4;1922;54;"2";"Neg";"ratings_Grp2"
"423";"B5";"342643__20160428_160148.csv";5;611;54;"2";"Pos";"ratings_Grp2"
"424";"M1";"342643__20160428_160148.csv";4;1193;54;"2";"Neg";"ratings_Grp2"
"474";"M1";"342643__20160428_160418.csv";9;20648;59;"2";"Neg";"ratings_Grp2"
"475";"B1";"342643__20160428_160418.csv";1;16248;59;"2";"Pos";"ratings_Grp2"
"476";"B5";"342643__20160428_160418.csv";1;1096;59;"2";"Pos";"ratings_Grp2"
"477";"M6";"342643__20160428_160418.csv";9;1316;59;"2";"Neg";"ratings_Grp2"
"478";"M7";"342643__20160428_160418.csv";9;976;59;"2";"Neg";"ratings_Grp2"
"479";"M5";"342643__20160428_160418.csv";9;1236;59;"2";"Neg";"ratings_Grp2"
"480";"B4";"342643__20160428_160418.csv";1;770;59;"2";"Pos";"ratings_Grp2"
"481";"B2";"342643__20160428_160418.csv";1;755;59;"2";"Pos";"ratings_Grp2"
"482";"M2";"342643__20160428_160418.csv";9;776;59;"2";"Neg";"ratings_Grp2"
"483";"M4";"342643__20160428_160418.csv";9;861;59;"2";"Neg";"ratings_Grp2"
"484";"B3";"342643__20160428_160418.csv";1;860;59;"2";"Pos";"ratings_Grp2"
"485";"M8";"342643__20160428_160418.csv";9;802;59;"2";"Neg";"ratings_Grp2"
"486";"M3";"342643__20160428_160418.csv";9;715;59;"2";"Neg";"ratings_Grp2"
"487";"B6";"342643__20160428_160418.csv";1;794;59;"2";"Pos";"ratings_Grp2"
"488";"B8";"342643__20160428_160418.csv";1;1728;59;"2";"Pos";"ratings_Grp2"
"489";"B7";"342643__20160428_160418.csv";1;950;59;"2";"Pos";"ratings_Grp2"
"539";"B8";"342643__20160428_160652.csv";3;10789;78;"2";"Pos";"ratings_Grp2"
"540";"B7";"342643__20160428_160652.csv";2;3783;78;"2";"Pos";"ratings_Grp2"
"541";"M6";"342643__20160428_160652.csv";6;2274;78;"2";"Neg";"ratings_Grp2"
"542";"M4";"342643__20160428_160652.csv";6;2614;78;"2";"Neg";"ratings_Grp2"
"543";"M3";"342643__20160428_160652.csv";7;1400;78;"2";"Neg";"ratings_Grp2"
"544";"M7";"342643__20160428_160652.csv";6;1127;78;"2";"Neg";"ratings_Grp2"
"545";"B1";"342643__20160428_160652.csv";2;1548;78;"2";"Pos";"ratings_Grp2"
"546";"M5";"342643__20160428_160652.csv";6;1880;78;"2";"Neg";"ratings_Grp2"
"547";"B2";"342643__20160428_160652.csv";5;2549;78;"2";"Pos";"ratings_Grp2"
"548";"B5";"342643__20160428_160652.csv";3;1992;78;"2";"Pos";"ratings_Grp2"
"549";"B6";"342643__20160428_160652.csv";4;1786;78;"2";"Pos";"ratings_Grp2"
"550";"M1";"342643__20160428_160652.csv";5;2814;78;"2";"Neg";"ratings_Grp2"
"551";"M8";"342643__20160428_160652.csv";5;1933;78;"2";"Neg";"ratings_Grp2"
"552";"B4";"342643__20160428_160652.csv";4;3791;78;"2";"Pos";"ratings_Grp2"
"553";"B3";"342643__20160428_160652.csv";4;8518;78;"2";"Pos";"ratings_Grp2"
"554";"M2";"342643__20160428_160652.csv";6;991;78;"2";"Neg";"ratings_Grp2"
"604";"M6";"342643__20160428_160952.csv";6;13921;75;"2";"Neg";"ratings_Grp2"
"605";"M1";"342643__20160428_160952.csv";6;30418;75;"2";"Neg";"ratings_Grp2"
"606";"M4";"342643__20160428_160952.csv";6;4513;75;"2";"Neg";"ratings_Grp2"
"607";"M8";"342643__20160428_160952.csv";6;9801;75;"2";"Neg";"ratings_Grp2"
"608";"B1";"342643__20160428_160952.csv";4;5684;75;"2";"Pos";"ratings_Grp2"
"609";"B5";"342643__20160428_160952.csv";3;6306;75;"2";"Pos";"ratings_Grp2"
"610";"M3";"342643__20160428_160952.csv";6;11658;75;"2";"Neg";"ratings_Grp2"
"611";"B3";"342643__20160428_160952.csv";4;7650;75;"2";"Pos";"ratings_Grp2"
"612";"M7";"342643__20160428_160952.csv";6;2746;75;"2";"Neg";"ratings_Grp2"
"613";"M5";"342643__20160428_160952.csv";6;9705;75;"2";"Neg";"ratings_Grp2"
"614";"M2";"342643__20160428_160952.csv";6;1259;75;"2";"Neg";"ratings_Grp2"
"615";"B7";"342643__20160428_160952.csv";4;1755;75;"2";"Pos";"ratings_Grp2"
"616";"B4";"342643__20160428_160952.csv";4;1002;75;"2";"Pos";"ratings_Grp2"
"617";"B2";"342643__20160428_160952.csv";4;1609;75;"2";"Pos";"ratings_Grp2"
"618";"B8";"342643__20160428_160952.csv";4;1003;75;"2";"Pos";"ratings_Grp2"
"619";"B6";"342643__20160428_160952.csv";4;1954;75;"2";"Pos";"ratings_Grp2"
"669";"B3";"342643__20160428_161129.csv";2;6165;70;"2";"Pos";"ratings_Grp2"
"670";"M1";"342643__20160428_161129.csv";3;3172;70;"2";"Neg";"ratings_Grp2"
"671";"B2";"342643__20160428_161129.csv";2;2451;70;"2";"Pos";"ratings_Grp2"
"672";"B6";"342643__20160428_161129.csv";5;1126;70;"2";"Pos";"ratings_Grp2"
"673";"M6";"342643__20160428_161129.csv";3;1397;70;"2";"Neg";"ratings_Grp2"
"674";"B5";"342643__20160428_161129.csv";1;2086;70;"2";"Pos";"ratings_Grp2"
"675";"M8";"342643__20160428_161129.csv";5;1724;70;"2";"Neg";"ratings_Grp2"
"676";"M5";"342643__20160428_161129.csv";5;1127;70;"2";"Neg";"ratings_Grp2"
"677";"M2";"342643__20160428_161129.csv";6;1370;70;"2";"Neg";"ratings_Grp2"
"678";"B8";"342643__20160428_161129.csv";1;1141;70;"2";"Pos";"ratings_Grp2"
"679";"M4";"342643__20160428_161129.csv";5;1198;70;"2";"Neg";"ratings_Grp2"
"680";"B4";"342643__20160428_161129.csv";1;742;70;"2";"Pos";"ratings_Grp2"
"681";"M3";"342643__20160428_161129.csv";2;1150;70;"2";"Neg";"ratings_Grp2"
"682";"B7";"342643__20160428_161129.csv";1;2573;70;"2";"Pos";"ratings_Grp2"
"683";"B1";"342643__20160428_161129.csv";4;990;70;"2";"Pos";"ratings_Grp2"
"684";"M7";"342643__20160428_161129.csv";2;584;70;"2";"Neg";"ratings_Grp2"
"734";"M6";"342643__20160428_161139.csv";1;12408;72;"2";"Neg";"ratings_Grp2"
"735";"B5";"342643__20160428_161139.csv";9;704;72;"2";"Pos";"ratings_Grp2"
"736";"M3";"342643__20160428_161139.csv";1;3050;72;"2";"Neg";"ratings_Grp2"
"737";"B3";"342643__20160428_161139.csv";9;521;72;"2";"Pos";"ratings_Grp2"
"738";"M5";"342643__20160428_161139.csv";1;700;72;"2";"Neg";"ratings_Grp2"
"739";"B2";"342643__20160428_161139.csv";9;591;72;"2";"Pos";"ratings_Grp2"
"740";"M2";"342643__20160428_161139.csv";1;594;72;"2";"Neg";"ratings_Grp2"
"741";"B1";"342643__20160428_161139.csv";9;649;72;"2";"Pos";"ratings_Grp2"
"742";"B7";"342643__20160428_161139.csv";9;723;72;"2";"Pos";"ratings_Grp2"
"743";"M8";"342643__20160428_161139.csv";1;591;72;"2";"Neg";"ratings_Grp2"
"744";"B6";"342643__20160428_161139.csv";9;701;72;"2";"Pos";"ratings_Grp2"
"745";"M7";"342643__20160428_161139.csv";1;1928;72;"2";"Neg";"ratings_Grp2"
"746";"M1";"342643__20160428_161139.csv";1;517;72;"2";"Neg";"ratings_Grp2"
"747";"M4";"342643__20160428_161139.csv";1;549;72;"2";"Neg";"ratings_Grp2"
"748";"B4";"342643__20160428_161139.csv";9;502;72;"2";"Pos";"ratings_Grp2"
"749";"B8";"342643__20160428_161139.csv";9;493;72;"2";"Pos";"ratings_Grp2"
"799";"M1";"342643__20160428_161229.csv";1;3815;70;"2";"Neg";"ratings_Grp2"
"800";"M8";"342643__20160428_161229.csv";4;3276;70;"2";"Neg";"ratings_Grp2"
"801";"B7";"342643__20160428_161229.csv";8;1854;70;"2";"Pos";"ratings_Grp2"
"802";"B3";"342643__20160428_161229.csv";7;1346;70;"2";"Pos";"ratings_Grp2"
"803";"B2";"342643__20160428_161229.csv";6;1897;70;"2";"Pos";"ratings_Grp2"
"804";"M3";"342643__20160428_161229.csv";2;1677;70;"2";"Neg";"ratings_Grp2"
"805";"B8";"342643__20160428_161229.csv";2;1072;70;"2";"Pos";"ratings_Grp2"
"806";"B6";"342643__20160428_161229.csv";5;1961;70;"2";"Pos";"ratings_Grp2"
"807";"M6";"342643__20160428_161229.csv";6;1269;70;"2";"Neg";"ratings_Grp2"
"808";"M4";"342643__20160428_161229.csv";3;2220;70;"2";"Neg";"ratings_Grp2"
"809";"B1";"342643__20160428_161229.csv";8;1487;70;"2";"Pos";"ratings_Grp2"
"810";"M5";"342643__20160428_161229.csv";3;1560;70;"2";"Neg";"ratings_Grp2"
"811";"B5";"342643__20160428_161229.csv";9;1122;70;"2";"Pos";"ratings_Grp2"
"812";"M2";"342643__20160428_161229.csv";3;1870;70;"2";"Neg";"ratings_Grp2"
"813";"B4";"342643__20160428_161229.csv";7;1232;70;"2";"Pos";"ratings_Grp2"
"814";"M7";"342643__20160428_161229.csv";2;2004;70;"2";"Neg";"ratings_Grp2"
"864";"M7";"342643__20160428_161523.csv";7;8427;74;"2";"Neg";"ratings_Grp2"
"865";"B6";"342643__20160428_161523.csv";4;4333;74;"2";"Pos";"ratings_Grp2"
"866";"B2";"342643__20160428_161523.csv";2;1943;74;"2";"Pos";"ratings_Grp2"
"867";"M6";"342643__20160428_161523.csv";8;1998;74;"2";"Neg";"ratings_Grp2"
"868";"M2";"342643__20160428_161523.csv";7;1270;74;"2";"Neg";"ratings_Grp2"
"869";"B4";"342643__20160428_161523.csv";8;1115;74;"2";"Pos";"ratings_Grp2"
"870";"B8";"342643__20160428_161523.csv";3;2197;74;"2";"Pos";"ratings_Grp2"
"871";"B1";"342643__20160428_161523.csv";3;1522;74;"2";"Pos";"ratings_Grp2"
"872";"M5";"342643__20160428_161523.csv";9;3855;74;"2";"Neg";"ratings_Grp2"
"873";"M1";"342643__20160428_161523.csv";9;1355;74;"2";"Neg";"ratings_Grp2"
"874";"B3";"342643__20160428_161523.csv";4;1633;74;"2";"Pos";"ratings_Grp2"
"875";"M3";"342643__20160428_161523.csv";8;1372;74;"2";"Neg";"ratings_Grp2"
"876";"M4";"342643__20160428_161523.csv";4;1216;74;"2";"Neg";"ratings_Grp2"
"877";"M8";"342643__20160428_161523.csv";4;2095;74;"2";"Neg";"ratings_Grp2"
"878";"B5";"342643__20160428_161523.csv";8;1448;74;"2";"Pos";"ratings_Grp2"
"879";"B7";"342643__20160428_161523.csv";9;1286;74;"2";"Pos";"ratings_Grp2"
"929";"B3";"342643__20160428_161726.csv";6;9592;79;"2";"Pos";"ratings_Grp2"
"930";"B8";"342643__20160428_161726.csv";2;6182;79;"2";"Pos";"ratings_Grp2"
"931";"B5";"342643__20160428_161726.csv";2;825;79;"2";"Pos";"ratings_Grp2"
"932";"M8";"342643__20160428_161726.csv";9;1198;79;"2";"Neg";"ratings_Grp2"
"933";"M6";"342643__20160428_161726.csv";9;543;79;"2";"Neg";"ratings_Grp2"
"934";"M2";"342643__20160428_161726.csv";9;649;79;"2";"Neg";"ratings_Grp2"
"935";"M5";"342643__20160428_161726.csv";8;509;79;"2";"Neg";"ratings_Grp2"
"936";"B7";"342643__20160428_161726.csv";2;779;79;"2";"Pos";"ratings_Grp2"
"937";"M7";"342643__20160428_161726.csv";8;1043;79;"2";"Neg";"ratings_Grp2"
"938";"B4";"342643__20160428_161726.csv";3;707;79;"2";"Pos";"ratings_Grp2"
"939";"B6";"342643__20160428_161726.csv";9;1424;79;"2";"Pos";"ratings_Grp2"
"940";"M3";"342643__20160428_161726.csv";9;964;79;"2";"Neg";"ratings_Grp2"
"941";"M1";"342643__20160428_161726.csv";9;539;79;"2";"Neg";"ratings_Grp2"
"942";"B2";"342643__20160428_161726.csv";1;1028;79;"2";"Pos";"ratings_Grp2"
"943";"M4";"342643__20160428_161726.csv";8;801;79;"2";"Neg";"ratings_Grp2"
"944";"B1";"342643__20160428_161726.csv";2;1056;79;"2";"Pos";"ratings_Grp2"
"994";"M6";"342643__20160428_162123.csv";6;6786;63;"2";"Neg";"ratings_Grp2"
"995";"M5";"342643__20160428_162123.csv";7;1483;63;"2";"Neg";"ratings_Grp2"
"996";"B8";"342643__20160428_162123.csv";3;2439;63;"2";"Pos";"ratings_Grp2"
"997";"M4";"342643__20160428_162123.csv";5;3081;63;"2";"Neg";"ratings_Grp2"
"998";"B6";"342643__20160428_162123.csv";2;5847;63;"2";"Pos";"ratings_Grp2"
"999";"B1";"342643__20160428_162123.csv";3;1162;63;"2";"Pos";"ratings_Grp2"
"1000";"B5";"342643__20160428_162123.csv";4;3716;63;"2";"Pos";"ratings_Grp2"
"1001";"M8";"342643__20160428_162123.csv";6;1323;63;"2";"Neg";"ratings_Grp2"
"1002";"M3";"342643__20160428_162123.csv";7;1098;63;"2";"Neg";"ratings_Grp2"
"1003";"B4";"342643__20160428_162123.csv";1;2153;63;"2";"Pos";"ratings_Grp2"
"1004";"M2";"342643__20160428_162123.csv";3;1103;63;"2";"Neg";"ratings_Grp2"
"1005";"B7";"342643__20160428_162123.csv";2;1113;63;"2";"Pos";"ratings_Grp2"
"1006";"B3";"342643__20160428_162123.csv";4;1065;63;"2";"Pos";"ratings_Grp2"
"1007";"M7";"342643__20160428_162123.csv";5;1758;63;"2";"Neg";"ratings_Grp2"
"1008";"B2";"342643__20160428_162123.csv";5;2329;63;"2";"Pos";"ratings_Grp2"
"1009";"M1";"342643__20160428_162123.csv";7;1823;63;"2";"Neg";"ratings_Grp2"
"1059";"B3";"342643__20160428_162158.csv";7;31419;60;"2";"Pos";"ratings_Grp2"
"1060";"B5";"342643__20160428_162158.csv";3;10626;60;"2";"Pos";"ratings_Grp2"
"1061";"M6";"342643__20160428_162158.csv";2;3791;60;"2";"Neg";"ratings_Grp2"
"1062";"B6";"342643__20160428_162158.csv";8;4824;60;"2";"Pos";"ratings_Grp2"
"1063";"M2";"342643__20160428_162158.csv";2;2057;60;"2";"Neg";"ratings_Grp2"
"1064";"M3";"342643__20160428_162158.csv";1;2303;60;"2";"Neg";"ratings_Grp2"
"1065";"B2";"342643__20160428_162158.csv";8;2895;60;"2";"Pos";"ratings_Grp2"
"1066";"M4";"342643__20160428_162158.csv";1;1824;60;"2";"Neg";"ratings_Grp2"
"1067";"M8";"342643__20160428_162158.csv";3;3747;60;"2";"Neg";"ratings_Grp2"
"1068";"B8";"342643__20160428_162158.csv";8;1907;60;"2";"Pos";"ratings_Grp2"
"1069";"M1";"342643__20160428_162158.csv";4;1774;60;"2";"Neg";"ratings_Grp2"
"1070";"M5";"342643__20160428_162158.csv";6;3530;60;"2";"Neg";"ratings_Grp2"
"1071";"B1";"342643__20160428_162158.csv";5;3626;60;"2";"Pos";"ratings_Grp2"
"1072";"M7";"342643__20160428_162158.csv";4;2979;60;"2";"Neg";"ratings_Grp2"
"1073";"B4";"342643__20160428_162158.csv";5;4206;60;"2";"Pos";"ratings_Grp2"
"1074";"B7";"342643__20160428_162158.csv";3;4251;60;"2";"Pos";"ratings_Grp2"
"1124";"M7";"342643__20160428_162517.csv";1;2591;76;"2";"Neg";"ratings_Grp2"
"1125";"M6";"342643__20160428_162517.csv";1;2005;76;"2";"Neg";"ratings_Grp2"
"1126";"M5";"342643__20160428_162517.csv";1;819;76;"2";"Neg";"ratings_Grp2"
"1127";"B3";"342643__20160428_162517.csv";9;3771;76;"2";"Pos";"ratings_Grp2"
"1128";"M2";"342643__20160428_162517.csv";1;1433;76;"2";"Neg";"ratings_Grp2"
"1129";"M8";"342643__20160428_162517.csv";1;1176;76;"2";"Neg";"ratings_Grp2"
"1130";"M1";"342643__20160428_162517.csv";1;1061;76;"2";"Neg";"ratings_Grp2"
"1131";"B1";"342643__20160428_162517.csv";9;1101;76;"2";"Pos";"ratings_Grp2"
"1132";"B8";"342643__20160428_162517.csv";9;783;76;"2";"Pos";"ratings_Grp2"
"1133";"B7";"342643__20160428_162517.csv";9;1523;76;"2";"Pos";"ratings_Grp2"
"1134";"B4";"342643__20160428_162517.csv";9;434;76;"2";"Pos";"ratings_Grp2"
"1135";"B5";"342643__20160428_162517.csv";9;494;76;"2";"Pos";"ratings_Grp2"
"1136";"B2";"342643__20160428_162517.csv";9;559;76;"2";"Pos";"ratings_Grp2"
"1137";"M4";"342643__20160428_162517.csv";1;1401;76;"2";"Neg";"ratings_Grp2"
"1138";"B6";"342643__20160428_162517.csv";9;1122;76;"2";"Pos";"ratings_Grp2"
"1139";"M3";"342643__20160428_162517.csv";1;1882;76;"2";"Neg";"ratings_Grp2"
"1189";"B3";"342643__20160428_162847.csv";1;8719;56;"2";"Pos";"ratings_Grp2"
"1190";"B8";"342643__20160428_162847.csv";1;926;56;"2";"Pos";"ratings_Grp2"
"1191";"B4";"342643__20160428_162847.csv";1;685;56;"2";"Pos";"ratings_Grp2"
"1192";"B7";"342643__20160428_162847.csv";1;674;56;"2";"Pos";"ratings_Grp2"
"1193";"M6";"342643__20160428_162847.csv";9;3775;56;"2";"Neg";"ratings_Grp2"
"1194";"M1";"342643__20160428_162847.csv";9;1381;56;"2";"Neg";"ratings_Grp2"
"1195";"M8";"342643__20160428_162847.csv";9;954;56;"2";"Neg";"ratings_Grp2"
"1196";"B6";"342643__20160428_162847.csv";1;694;56;"2";"Pos";"ratings_Grp2"
"1197";"M7";"342643__20160428_162847.csv";9;513;56;"2";"Neg";"ratings_Grp2"
