"ppt","stim1","RWAscore","usvalence","response","XP"
"12","B5",-0.731689232529853,0.5,5,"XP09"
"12","B7",-0.731689232529853,0.5,5,"XP09"
"12","B2",-0.731689232529853,0.5,5,"XP09"
"12","B8",-0.731689232529853,0.5,5,"XP09"
"12","M2",-0.731689232529853,-0.5,6,"XP09"
"12","M4",-0.731689232529853,-0.5,5,"XP09"
"12","M3",-0.731689232529853,-0.5,6,"XP09"
"12","M6",-0.731689232529853,-0.5,5,"XP09"
"12","M1",-0.731689232529853,-0.5,4,"XP09"
"12","M7",-0.731689232529853,-0.5,5,"XP09"
"12","B6",-0.731689232529853,0.5,5,"XP09"
"12","B4",-0.731689232529853,0.5,4,"XP09"
"12","B3",-0.731689232529853,0.5,4,"XP09"
"12","M8",-0.731689232529853,-0.5,4,"XP09"
"12","M5",-0.731689232529853,-0.5,4,"XP09"
"12","B1",-0.731689232529853,0.5,4,"XP09"
"13","M6",-0.513085782811057,0.5,3,"XP09"
"13","M1",-0.513085782811057,0.5,2,"XP09"
"13","M7",-0.513085782811057,0.5,3,"XP09"
"13","B3",-0.513085782811057,-0.5,6,"XP09"
"13","M3",-0.513085782811057,0.5,4,"XP09"
"13","M5",-0.513085782811057,0.5,3,"XP09"
"13","B8",-0.513085782811057,-0.5,5,"XP09"
"13","B6",-0.513085782811057,-0.5,6,"XP09"
"13","M8",-0.513085782811057,0.5,3,"XP09"
"13","B4",-0.513085782811057,-0.5,7,"XP09"
"13","B5",-0.513085782811057,-0.5,7,"XP09"
"13","M2",-0.513085782811057,0.5,4,"XP09"
"13","B1",-0.513085782811057,-0.5,6,"XP09"
"13","M4",-0.513085782811057,0.5,5,"XP09"
"13","B2",-0.513085782811057,-0.5,5,"XP09"
"13","B7",-0.513085782811057,-0.5,7,"XP09"
"14","M8",-0.731689232529853,-0.5,7,"XP09"
"14","B4",-0.731689232529853,0.5,8,"XP09"
"14","B5",-0.731689232529853,0.5,6,"XP09"
"14","B7",-0.731689232529853,0.5,4,"XP09"
"14","M2",-0.731689232529853,-0.5,2,"XP09"
"14","B8",-0.731689232529853,0.5,8,"XP09"
"14","M7",-0.731689232529853,-0.5,5,"XP09"
