"ppt","stim1","RWAscore","usvalence","response","XP"
"342643__20160428_154823.csv","B3",0.115468365548655,-0.5,3,"XP03"
"342643__20160428_154823.csv","B8",0.115468365548655,-0.5,5,"XP03"
"342643__20160428_154823.csv","M7",0.115468365548655,0.5,5,"XP03"
"342643__20160428_154823.csv","M2",0.115468365548655,0.5,5,"XP03"
"342643__20160428_154823.csv","B7",0.115468365548655,-0.5,4,"XP03"
"342643__20160428_154823.csv","B1",0.115468365548655,-0.5,3,"XP03"
"342643__20160428_154823.csv","M1",0.115468365548655,0.5,4,"XP03"
"342643__20160428_154823.csv","M8",0.115468365548655,0.5,4,"XP03"
"342643__20160428_154823.csv","B6",0.115468365548655,-0.5,7,"XP03"
"342643__20160428_154823.csv","M5",0.115468365548655,0.5,4,"XP03"
"342643__20160428_154823.csv","B5",0.115468365548655,-0.5,8,"XP03"
"342643__20160428_154823.csv","B2",0.115468365548655,-0.5,5,"XP03"
"342643__20160428_154823.csv","M3",0.115468365548655,0.5,3,"XP03"
"342643__20160428_154823.csv","B4",0.115468365548655,-0.5,8,"XP03"
"342643__20160428_154823.csv","M4",0.115468365548655,0.5,5,"XP03"
"342643__20160428_154823.csv","M6",0.115468365548655,0.5,3,"XP03"
"342643__20160428_155143.csv","M6",-3.41881267529949,0.5,6,"XP03"
"342643__20160428_155143.csv","M5",-3.41881267529949,0.5,7,"XP03"
"342643__20160428_155143.csv","M1",-3.41881267529949,0.5,6,"XP03"
"342643__20160428_155143.csv","M2",-3.41881267529949,0.5,7,"XP03"
"342643__20160428_155143.csv","B8",-3.41881267529949,-0.5,3,"XP03"
"342643__20160428_155143.csv","M8",-3.41881267529949,0.5,6,"XP03"
"342643__20160428_155143.csv","B1",-3.41881267529949,-0.5,5,"XP03"
"342643__20160428_155143.csv","B3",-3.41881267529949,-0.5,5,"XP03"
"342643__20160428_155143.csv","B2",-3.41881267529949,-0.5,4,"XP03"
"342643__20160428_155143.csv","M3",-3.41881267529949,0.5,7,"XP03"
"342643__20160428_155143.csv","M7",-3.41881267529949,0.5,6,"XP03"
"342643__20160428_155143.csv","B5",-3.41881267529949,-0.5,5,"XP03"
"342643__20160428_155143.csv","B7",-3.41881267529949,-0.5,5,"XP03"
"342643__20160428_155143.csv","B6",-3.41881267529949,-0.5,5,"XP03"
"342643__20160428_155143.csv","M4",-3.41881267529949,0.5,7,"XP03"
"342643__20160428_155143.csv","B4",-3.41881267529949,-0.5,5,"XP03"
"342643__20160428_155411.csv","M5",0.367917011323522,0.5,6,"XP03"
"342643__20160428_155411.csv","B7",0.367917011323522,-0.5,3,"XP03"
"342643__20160428_155411.csv","B2",0.367917011323522,-0.5,7,"XP03"
"342643__20160428_155411.csv","B1",0.367917011323522,-0.5,6,"XP03"
"342643__20160428_155411.csv","M8",0.367917011323522,0.5,2,"XP03"
"342643__20160428_155411.csv","M1",0.367917011323522,0.5,1,"XP03"
"342643__20160428_155411.csv","M2",0.367917011323522,0.5,2,"XP03"
"342643__20160428_155411.csv","B4",0.367917011323522,-0.5,5,"XP03"
"342643__20160428_155411.csv","M4",0.367917011323522,0.5,4,"XP03"
"342643__20160428_155411.csv","M3",0.367917011323522,0.5,4,"XP03"
"342643__20160428_155411.csv","B5",0.367917011323522,-0.5,7,"XP03"
"342643__20160428_155411.csv","B3",0.367917011323522,-0.5,6,"XP03"
"342643__20160428_155411.csv","M6",0.367917011323522,0.5,4,"XP03"
"342643__20160428_155411.csv","B6",0.367917011323522,-0.5,7,"XP03"
"342643__20160428_155411.csv","B8",0.367917011323522,-0.5,7,"XP03"
"342643__20160428_155411.csv","M7",0.367917011323522,0.5,4,"XP03"
"342643__20160428_155932.csv","M6",0.115468365548655,0.5,4,"XP03"
"342643__20160428_155932.csv","M1",0.115468365548655,0.5,3,"XP03"
"342643__20160428_155932.csv","M8",0.115468365548655,0.5,5,"XP03"
"342643__20160428_155932.csv","B8",0.115468365548655,-0.5,6,"XP03"
"342643__20160428_155932.csv","B4",0.115468365548655,-0.5,6,"XP03"
"342643__20160428_155932.csv","M3",0.115468365548655,0.5,7,"XP03"
"342643__20160428_155932.csv","M5",0.115468365548655,0.5,6,"XP03"
"342643__20160428_155932.csv","B2",0.115468365548655,-0.5,8,"XP03"
"342643__20160428_155932.csv","B3",0.115468365548655,-0.5,4,"XP03"
"342643__20160428_155932.csv","B5",0.115468365548655,-0.5,5,"XP03"
"342643__20160428_155932.csv","M7",0.115468365548655,0.5,6,"XP03"
"342643__20160428_155932.csv","B7",0.115468365548655,-0.5,7,"XP03"
"342643__20160428_155932.csv","M2",0.115468365548655,0.5,8,"XP03"
"342643__20160428_155932.csv","B6",0.115468365548655,-0.5,4,"XP03"
"342643__20160428_155932.csv","M4",0.115468365548655,0.5,6,"XP03"
"342643__20160428_155932.csv","B1",0.115468365548655,-0.5,7,"XP03"
"342643__20160428_160025.csv","B3",-1.27299918621312,-0.5,7,"XP03"
"342643__20160428_160025.csv","B7",-1.27299918621312,-0.5,8,"XP03"
"342643__20160428_160025.csv","B4",-1.27299918621312,-0.5,6,"XP03"
"342643__20160428_160025.csv","M6",-1.27299918621312,0.5,7,"XP03"
"342643__20160428_160025.csv","M5",-1.27299918621312,0.5,4,"XP03"
"342643__20160428_160025.csv","B1",-1.27299918621312,-0.5,8,"XP03"
"342643__20160428_160025.csv","B5",-1.27299918621312,-0.5,5,"XP03"
"342643__20160428_160025.csv","M3",-1.27299918621312,0.5,9,"XP03"
"342643__20160428_160025.csv","M2",-1.27299918621312,0.5,4,"XP03"
"342643__20160428_160025.csv","M8",-1.27299918621312,0.5,9,"XP03"
"342643__20160428_160025.csv","M1",-1.27299918621312,0.5,9,"XP03"
"342643__20160428_160025.csv","B6",-1.27299918621312,-0.5,8,"XP03"
"342643__20160428_160025.csv","B8",-1.27299918621312,-0.5,5,"XP03"
"342643__20160428_160025.csv","M7",-1.27299918621312,0.5,6,"XP03"
"342643__20160428_160025.csv","B2",-1.27299918621312,-0.5,9,"XP03"
"342643__20160428_160025.csv","M4",-1.27299918621312,0.5,5,"XP03"
"342643__20160428_160043.csv","B4",0.62036565709839,-0.5,3,"XP03"
"342643__20160428_160043.csv","M5",0.62036565709839,0.5,6,"XP03"
"342643__20160428_160043.csv","M3",0.62036565709839,0.5,5,"XP03"
"342643__20160428_160043.csv","M1",0.62036565709839,0.5,5,"XP03"
"342643__20160428_160043.csv","B6",0.62036565709839,-0.5,3,"XP03"
"342643__20160428_160043.csv","B2",0.62036565709839,-0.5,2,"XP03"
"342643__20160428_160043.csv","B1",0.62036565709839,-0.5,5,"XP03"
"342643__20160428_160043.csv","B7",0.62036565709839,-0.5,3,"XP03"
