"ppt","stim1","RWAscore","usvalence","response","XP"
"Greebles-2185-1","M6",1.42282529851089,-0.5,5,"XP02"
"Greebles-2185-1","M7",1.42282529851089,-0.5,5,"XP02"
"Greebles-2185-1","M8",1.42282529851089,-0.5,5,"XP02"
"Greebles-2225-1","B1",0.445360582849526,-0.5,2,"XP02"
"Greebles-2225-1","B2",0.445360582849526,-0.5,2,"XP02"
"Greebles-2225-1","B3",0.445360582849526,-0.5,2,"XP02"
"Greebles-2225-1","B4",0.445360582849526,-0.5,2,"XP02"
"Greebles-2225-1","B5",0.445360582849526,-0.5,3,"XP02"
"Greebles-2225-1","B6",0.445360582849526,-0.5,4,"XP02"
"Greebles-2225-1","B7",0.445360582849526,-0.5,1,"XP02"
"Greebles-2225-1","B8",0.445360582849526,-0.5,3,"XP02"
"Greebles-2225-1","M1",0.445360582849526,0.5,7,"XP02"
"Greebles-2225-1","M2",0.445360582849526,0.5,7,"XP02"
"Greebles-2225-1","M3",0.445360582849526,0.5,7,"XP02"
"Greebles-2225-1","M4",0.445360582849526,0.5,7,"XP02"
"Greebles-2225-1","M5",0.445360582849526,0.5,8,"XP02"
"Greebles-2225-1","M6",0.445360582849526,0.5,8,"XP02"
"Greebles-2225-1","M7",0.445360582849526,0.5,6,"XP02"
"Greebles-2225-1","M8",0.445360582849526,0.5,8,"XP02"
"Greebles-2424-1","B1",-0.857925704698956,-0.5,7,"XP02"
"Greebles-2424-1","B2",-0.857925704698956,-0.5,7,"XP02"
"Greebles-2424-1","B3",-0.857925704698956,-0.5,8,"XP02"
"Greebles-2424-1","B4",-0.857925704698956,-0.5,8,"XP02"
"Greebles-2424-1","B5",-0.857925704698956,-0.5,8,"XP02"
"Greebles-2424-1","B6",-0.857925704698956,-0.5,5,"XP02"
"Greebles-2424-1","B7",-0.857925704698956,-0.5,8,"XP02"
"Greebles-2424-1","B8",-0.857925704698956,-0.5,6,"XP02"
"Greebles-2424-1","M1",-0.857925704698956,0.5,3,"XP02"
"Greebles-2424-1","M2",-0.857925704698956,0.5,3,"XP02"
"Greebles-2424-1","M3",-0.857925704698956,0.5,4,"XP02"
"Greebles-2424-1","M4",-0.857925704698956,0.5,3,"XP02"
"Greebles-2424-1","M5",-0.857925704698956,0.5,3,"XP02"
"Greebles-2424-1","M6",-0.857925704698956,0.5,4,"XP02"
"Greebles-2424-1","M7",-0.857925704698956,0.5,4,"XP02"
"Greebles-2424-1","M8",-0.857925704698956,0.5,3,"XP02"
"Greebles-2542-1","B1",-0.369193346868276,0.5,8,"XP02"
"Greebles-2542-1","B2",-0.369193346868276,0.5,9,"XP02"
"Greebles-2542-1","B3",-0.369193346868276,0.5,6,"XP02"
"Greebles-2542-1","B4",-0.369193346868276,0.5,7,"XP02"
"Greebles-2542-1","B5",-0.369193346868276,0.5,7,"XP02"
"Greebles-2542-1","B6",-0.369193346868276,0.5,7,"XP02"
"Greebles-2542-1","B7",-0.369193346868276,0.5,8,"XP02"
"Greebles-2542-1","B8",-0.369193346868276,0.5,8,"XP02"
"Greebles-2542-1","M1",-0.369193346868276,-0.5,4,"XP02"
"Greebles-2542-1","M2",-0.369193346868276,-0.5,3,"XP02"
"Greebles-2542-1","M3",-0.369193346868276,-0.5,3,"XP02"
"Greebles-2542-1","M4",-0.369193346868276,-0.5,3,"XP02"
"Greebles-2542-1","M5",-0.369193346868276,-0.5,5,"XP02"
"Greebles-2542-1","M6",-0.369193346868276,-0.5,4,"XP02"
"Greebles-2542-1","M7",-0.369193346868276,-0.5,3,"XP02"
"Greebles-2542-1","M8",-0.369193346868276,-0.5,2,"XP02"
"Greebles-2963-1","B1",-1.02083649064252,-0.5,7,"XP02"
"Greebles-2963-1","B2",-1.02083649064252,-0.5,8,"XP02"
"Greebles-2963-1","B3",-1.02083649064252,-0.5,8,"XP02"
"Greebles-2963-1","B4",-1.02083649064252,-0.5,8,"XP02"
"Greebles-2963-1","B5",-1.02083649064252,-0.5,8,"XP02"
"Greebles-2963-1","B6",-1.02083649064252,-0.5,8,"XP02"
"Greebles-2963-1","B7",-1.02083649064252,-0.5,9,"XP02"
"Greebles-2963-1","B8",-1.02083649064252,-0.5,8,"XP02"
"Greebles-2963-1","M1",-1.02083649064252,0.5,2,"XP02"
"Greebles-2963-1","M2",-1.02083649064252,0.5,2,"XP02"
"Greebles-2963-1","M3",-1.02083649064252,0.5,2,"XP02"
"Greebles-2963-1","M4",-1.02083649064252,0.5,2,"XP02"
"Greebles-2963-1","M5",-1.02083649064252,0.5,2,"XP02"
"Greebles-2963-1","M6",-1.02083649064252,0.5,2,"XP02"
"Greebles-2963-1","M7",-1.02083649064252,0.5,2,"XP02"
"Greebles-2963-1","M8",-1.02083649064252,0.5,2,"XP02"
"Greebles-3276-1","B1",-0.369193346868276,-0.5,9,"XP02"
"Greebles-3276-1","B2",-0.369193346868276,-0.5,9,"XP02"
"Greebles-3276-1","B3",-0.369193346868276,-0.5,1,"XP02"
"Greebles-3276-1","B4",-0.369193346868276,-0.5,2,"XP02"
"Greebles-3276-1","B5",-0.369193346868276,-0.5,2,"XP02"
"Greebles-3276-1","B6",-0.369193346868276,-0.5,5,"XP02"
"Greebles-3276-1","B8",-0.369193346868276,-0.5,3,"XP02"
"Greebles-3276-1","M1",-0.369193346868276,0.5,1,"XP02"
"Greebles-3276-1","M2",-0.369193346868276,0.5,1,"XP02"
"Greebles-3276-1","M3",-0.369193346868276,0.5,8,"XP02"
"Greebles-3276-1","M4",-0.369193346868276,0.5,9,"XP02"
"Greebles-3276-1","M5",-0.369193346868276,0.5,1,"XP02"
"Greebles-3276-1","M6",-0.369193346868276,0.5,2,"XP02"
"Greebles-3276-1","M7",-0.369193346868276,0.5,2,"XP02"
"Greebles-3276-1","M8",-0.369193346868276,0.5,1,"XP02"
"Greebles-3429-1","B1",-0.857925704698956,-0.5,4,"XP02"
"Greebles-3429-1","B2",-0.857925704698956,-0.5,4,"XP02"
"Greebles-3429-1","B3",-0.857925704698956,-0.5,5,"XP02"
"Greebles-3429-1","B4",-0.857925704698956,-0.5,5,"XP02"
"Greebles-3429-1","B5",-0.857925704698956,-0.5,5,"XP02"
"Greebles-3429-1","B6",-0.857925704698956,-0.5,4,"XP02"
"Greebles-3429-1","B7",-0.857925704698956,-0.5,4,"XP02"
"Greebles-3429-1","B8",-0.857925704698956,-0.5,4,"XP02"
"Greebles-3429-1","M1",-0.857925704698956,0.5,6,"XP02"
"Greebles-3429-1","M2",-0.857925704698956,0.5,4,"XP02"
"Greebles-3429-1","M3",-0.857925704698956,0.5,4,"XP02"
"Greebles-3429-1","M4",-0.857925704698956,0.5,5,"XP02"
"Greebles-3429-1","M5",-0.857925704698956,0.5,6,"XP02"
"Greebles-3429-1","M6",-0.857925704698956,0.5,6,"XP02"
"Greebles-3429-1","M7",-0.857925704698956,0.5,5,"XP02"
"Greebles-3429-1","M8",-0.857925704698956,0.5,4,"XP02"
"Greebles-3676-1","B1",-0.857925704698956,-0.5,5,"XP02"
"Greebles-3676-1","B2",-0.857925704698956,-0.5,5,"XP02"
"Greebles-3676-1","B3",-0.857925704698956,-0.5,4,"XP02"
"Greebles-3676-1","B4",-0.857925704698956,-0.5,4,"XP02"
"Greebles-3676-1","B5",-0.857925704698956,-0.5,5,"XP02"
"Greebles-3676-1","B6",-0.857925704698956,-0.5,4,"XP02"
"Greebles-3676-1","B7",-0.857925704698956,-0.5,5,"XP02"
"Greebles-3676-1","B8",-0.857925704698956,-0.5,4,"XP02"
"Greebles-3676-1","M1",-0.857925704698956,0.5,5,"XP02"
"Greebles-3676-1","M2",-0.857925704698956,0.5,6,"XP02"
"Greebles-3676-1","M3",-0.857925704698956,0.5,6,"XP02"
"Greebles-3676-1","M4",-0.857925704698956,0.5,6,"XP02"
"Greebles-3676-1","M5",-0.857925704698956,0.5,6,"XP02"
"Greebles-3676-1","M6",-0.857925704698956,0.5,6,"XP02"
"Greebles-3676-1","M7",-0.857925704698956,0.5,7,"XP02"
"Greebles-3676-1","M8",-0.857925704698956,0.5,6,"XP02"
"Greebles-3818-1","B1",0.771182154736647,0.5,4,"XP02"
"Greebles-3818-1","B2",0.771182154736647,0.5,4,"XP02"
"Greebles-3818-1","B3",0.771182154736647,0.5,7,"XP02"
"Greebles-3818-1","B4",0.771182154736647,0.5,2,"XP02"
"Greebles-3818-1","B5",0.771182154736647,0.5,8,"XP02"
"Greebles-3818-1","B6",0.771182154736647,0.5,5,"XP02"
"Greebles-3818-1","B7",0.771182154736647,0.5,5,"XP02"
"Greebles-3818-1","B8",0.771182154736647,0.5,3,"XP02"
"Greebles-3818-1","M1",0.771182154736647,-0.5,4,"XP02"
"Greebles-3818-1","M2",0.771182154736647,-0.5,5,"XP02"
"Greebles-3818-1","M3",0.771182154736647,-0.5,4,"XP02"
"Greebles-3818-1","M4",0.771182154736647,-0.5,6,"XP02"
"Greebles-3818-1","M5",0.771182154736647,-0.5,1,"XP02"
"Greebles-3818-1","M6",0.771182154736647,-0.5,5,"XP02"
"Greebles-3818-1","M7",0.771182154736647,-0.5,7,"XP02"
"Greebles-3818-1","M8",0.771182154736647,-0.5,3,"XP02"
"Greebles-4022-1","B1",-0.206282560924715,0.5,6,"XP02"
"Greebles-4022-1","B2",-0.206282560924715,0.5,4,"XP02"
"Greebles-4022-1","B3",-0.206282560924715,0.5,6,"XP02"
"Greebles-4022-1","B4",-0.206282560924715,0.5,2,"XP02"
"Greebles-4022-1","B5",-0.206282560924715,0.5,4,"XP02"
"Greebles-4022-1","B6",-0.206282560924715,0.5,6,"XP02"
"Greebles-4022-1","B7",-0.206282560924715,0.5,6,"XP02"
"Greebles-4022-1","B8",-0.206282560924715,0.5,5,"XP02"
"Greebles-4022-1","M1",-0.206282560924715,-0.5,1,"XP02"
"Greebles-4022-1","M2",-0.206282560924715,-0.5,4,"XP02"
"Greebles-4022-1","M3",-0.206282560924715,-0.5,2,"XP02"
"Greebles-4022-1","M4",-0.206282560924715,-0.5,2,"XP02"
"Greebles-4022-1","M5",-0.206282560924715,-0.5,2,"XP02"
"Greebles-4022-1","M6",-0.206282560924715,-0.5,1,"XP02"
"Greebles-4022-1","M7",-0.206282560924715,-0.5,2,"XP02"
"Greebles-4022-1","M8",-0.206282560924715,-0.5,4,"XP02"
"Greebles-4194-1","B1",-0.206282560924715,-0.5,4,"XP02"
